[GIN] 2026/03/14 - 02:40:04 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/57/submit"
[GIN] 2026/03/14 - 02:40:04 | 200 |     11.0587ms |       127.0.0.1 | POST     "/rounds/57/submit"
[GIN] 2026/03/14 - 02:40:04 | 200 |      1.8678ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:04 | 200 |      1.7616ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:05 | 200 |     12.6997ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:40:07 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/58/submit"
[GIN] 2026/03/14 - 02:40:07 | 200 |     14.2311ms |       127.0.0.1 | POST     "/rounds/58/submit"
[GIN] 2026/03/14 - 02:40:07 | 200 |      8.3929ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:07 | 200 |      1.0991ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:08 | 200 |     11.5481ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:40:11 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/59/submit"
[GIN] 2026/03/14 - 02:40:11 | 200 |      9.9683ms |       127.0.0.1 | POST     "/rounds/59/submit"
[GIN] 2026/03/14 - 02:40:11 | 200 |      2.7486ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:11 | 200 |      2.6244ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:12 | 200 |      6.7467ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:40:14 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/60/submit"
[GIN] 2026/03/14 - 02:40:14 | 200 |     11.9297ms |       127.0.0.1 | POST     "/rounds/60/submit"
[GIN] 2026/03/14 - 02:40:14 | 200 |      1.2969ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:14 | 200 |      2.2462ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:15 | 200 |      5.8014ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:40:17 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/61/submit"
[GIN] 2026/03/14 - 02:40:17 | 200 |      4.8382ms |       127.0.0.1 | POST     "/rounds/61/submit"
[GIN] 2026/03/14 - 02:40:17 | 200 |      1.4531ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:17 | 200 |      1.9578ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:17 | 200 |      1.0407ms |       127.0.0.1 | GET      "/rooms/945456/summary"
[GIN] 2026/03/14 - 02:40:17 | 200 |      1.0407ms |       127.0.0.1 | GET      "/rooms/945456/summary"
[GIN] 2026/03/14 - 02:40:17 | 200 |      1.6663ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:42:17 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/14 - 02:42:17 | 200 |      30.539ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/14 - 02:42:18 | 200 |      3.7691ms |       127.0.0.1 | GET      "/rooms/025715"
